,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
61,2022-12-31,0.017095744393480165,0.0029547631481082605,0.030314864444620376,0.01709574147009235,0.017095747728139387,0.0,0.0,0.0,0.0,0.0,0.0,0.017095744393480165
62,2023-12-31,0.017460982061134583,0.0028381745192166095,0.03155354818054563,0.017460977492684986,0.017460986943054167,0.0,0.0,0.0,0.0,0.0,0.0,0.017460982061134583
63,2024-12-31,0.01782722037993326,0.00360501683444711,0.03172658368047481,0.017827213877701625,0.017827227319895163,0.0,0.0,0.0,0.0,0.0,0.0,0.01782722037993326
64,2025-12-31,0.01819245804758768,0.004145802923215262,0.03209090402522523,0.018192449329366443,0.018192467374574677,0.0,0.0,0.0,0.0,0.0,0.0,0.01819245804758768
65,2026-12-31,0.0185576957152421,0.005716082080949157,0.0321677665582104,0.018557684344998243,0.01855770693631425,0.0,0.0,0.0,0.0,0.0,0.0,0.0185576957152421
66,2027-12-31,0.018922933382896523,0.004952310853841054,0.03233464829719301,0.01892291922732248,0.018922947290733825,0.0,0.0,0.0,0.0,0.0,0.0,0.018922933382896523
67,2028-12-31,0.019289171701695203,0.00465014857960557,0.03320104019930071,0.019289154611459344,0.019289187677758033,0.0,0.0,0.0,0.0,0.0,0.0,0.019289171701695203
68,2029-12-31,0.019654409369349618,0.006945849738659808,0.034037267593089664,0.019654389851727863,0.019654427774322435,0.0,0.0,0.0,0.0,0.0,0.0,0.019654409369349618
69,2030-12-31,0.020019647037004033,0.005947592442949865,0.03428994284697773,0.020019624468245022,0.02001966759279476,0.0,0.0,0.0,0.0,0.0,0.0,0.020019647037004033
70,2031-12-31,0.020384884704658456,0.0064213396918288024,0.034313371182115804,0.02038485939612759,0.020384907996192126,0.0,0.0,0.0,0.0,0.0,0.0,0.020384884704658456
71,2032-12-31,0.020751123023457135,0.006260446444627068,0.034977338878713994,0.020751094746301872,0.020751148475847574,0.0,0.0,0.0,0.0,0.0,0.0,0.020751123023457135
72,2033-12-31,0.021116360691111554,0.0071033034478898095,0.03468281558554931,0.021116329223055914,0.02111638887792007,0.0,0.0,0.0,0.0,0.0,0.0,0.021116360691111554
73,2034-12-31,0.02148159835876597,0.007679766348255223,0.034293553995285574,0.02148156393854389,0.021481629837584264,0.0,0.0,0.0,0.0,0.0,0.0,0.02148159835876597
74,2035-12-31,0.02184683602642039,0.00770380847744912,0.03623314032683129,0.021846797656739116,0.021846871069051577,0.0,0.0,0.0,0.0,0.0,0.0,0.02184683602642039
75,2036-12-31,0.02221307434521907,0.007891040695384597,0.03612666232045831,0.022213032184736095,0.022213113446869718,0.0,0.0,0.0,0.0,0.0,0.0,0.02221307434521907
76,2037-12-31,0.022578312012873494,0.008130915255717895,0.03704581550442229,0.022578265071860462,0.022578354860504503,0.0,0.0,0.0,0.0,0.0,0.0,0.022578312012873494
77,2038-12-31,0.022943549680527905,0.00890232726281804,0.03691070571633179,0.02294349986734701,0.022943596405427417,0.0,0.0,0.0,0.0,0.0,0.0,0.022943549680527905
78,2039-12-31,0.023308787348182328,0.009723248627487949,0.03760252305411251,0.02330873402838642,0.02330883783765964,0.0,0.0,0.0,0.0,0.0,0.0,0.023308787348182328
79,2040-12-31,0.023675025666981007,0.00973404523479217,0.03823099986238417,0.02367496774858546,0.023675080280336,0.0,0.0,0.0,0.0,0.0,0.0,0.023675025666981007
80,2041-12-31,0.02404026333463543,0.00991798501124679,0.037391296737206044,0.024040201006395107,0.024040321183152347,0.0,0.0,0.0,0.0,0.0,0.0,0.02404026333463543
81,2042-12-31,0.024405501002289845,0.011119042764072428,0.03885080461034686,0.024405433713295347,0.024405563760793437,0.0,0.0,0.0,0.0,0.0,0.0,0.024405501002289845
82,2043-12-31,0.02477073866994426,0.010707301684539958,0.03928849441195044,0.024770667388268816,0.024770805896789243,0.0,0.0,0.0,0.0,0.0,0.0,0.02477073866994426
83,2044-12-31,0.025136976988742947,0.012090603255825961,0.039926245504014295,0.025136902552502543,0.02513704773309567,0.0,0.0,0.0,0.0,0.0,0.0,0.025136976988742947
84,2045-12-31,0.025502214656397362,0.011537595285839431,0.039439875196265205,0.0255021367331161,0.025502290858218795,0.0,0.0,0.0,0.0,0.0,0.0,0.025502214656397362
85,2046-12-31,0.025867452324051785,0.010483888871714427,0.040508249198226126,0.02586736909762556,0.025867534112974187,0.0,0.0,0.0,0.0,0.0,0.0,0.025867452324051785
86,2047-12-31,0.026232689991706196,0.011875876382808246,0.03990454792668359,0.026232601201295527,0.026232777004414967,0.0,0.0,0.0,0.0,0.0,0.0,0.026232689991706196
87,2048-12-31,0.02659892831050488,0.0114729223663776,0.04037237254076391,0.026598834542884458,0.026599019119513397,0.0,0.0,0.0,0.0,0.0,0.0,0.02659892831050488
88,2049-12-31,0.0269641659781593,0.012369588260731298,0.040360818917388935,0.026964067778531088,0.026964263141298187,0.0,0.0,0.0,0.0,0.0,0.0,0.0269641659781593
